# Local-only branch-tip recovery index
# Captured 2026-08-31. These tips were absent from all current remote refs at recovery time.
# `integrated-ancestor-of-origin-main` means the exact tip is already reachable from the forward baseline.
source_branch	object_id	committed_on	reachability_at_capture	subject	archive_ref
gate0/search-to-lead-reconciliation	6c60230221ea4752fd5a1f70128e68f85b3e94b9	2026-08-26	not-ancestor-of-origin-main	fix(gate0): reconcile Search-to-Lead acceptance scenario with runtime custody rules	refs/archive/repository-convergence-20260831/local-only-branch-tips/gate0/search-to-lead-reconciliation
geography/territory-coverage-pipeline	d3db6925f898b46567022c0985706eaf5aa7ed4f	2026-08-31	not-ancestor-of-origin-main	feat: complete commercial and land journeys	refs/archive/repository-convergence-20260831/local-only-branch-tips/geography/territory-coverage-pipeline
integrate/developments-journey-release-validation	d6a6d234466fd8deb71daed17e4b99d219742e2c	2026-08-17	not-ancestor-of-origin-main	fix(developments): honor canonical geography boundaries	refs/archive/repository-convergence-20260831/local-only-branch-tips/integrate/developments-journey-release-validation
main	b20fd7c8149fc0cb395c8791e2ecb702ffa5f190	2026-08-25	not-ancestor-of-origin-main	Merge remote-tracking branch 'origin/main'	refs/archive/repository-convergence-20260831/local-only-branch-tips/main
recovery/development-delivery-updates-control-rescue-20260721	9622bcc5be1d5b9a9e9518a4cfd6c912bff5b193	2026-07-21	integrated-ancestor-of-origin-main	Merge pull request #377 from Doscoding187/fix/database-security-review-followup	refs/archive/repository-convergence-20260831/local-only-branch-tips/recovery/development-delivery-updates-control-rescue-20260721
recovery/dle-reconstruction-2026-07-02	1f3b5cb0965ff12f05cf49f46111e3cfbabcac65	2026-07-02	integrated-ancestor-of-origin-main	fix(listing-wizard): extract submit payload mapper	refs/archive/repository-convergence-20260831/local-only-branch-tips/recovery/dle-reconstruction-2026-07-02
recovery/ox-alpha-geography-coverage	4895358ddbd2a8a69c37aa5ee3126208eea42ff7	2026-08-26	not-ancestor-of-origin-main	feat(geography): wave-2 parent edges — researched Kempton Park locality set	refs/archive/repository-convergence-20260831/local-only-branch-tips/recovery/ox-alpha-geography-coverage
recovery/property-listing-engine-continuation-2026-07-02	1138aef714466e051e0cbf179488a9e70f94c29c	2026-07-02	integrated-ancestor-of-origin-main	Merge pull request #334 from Doscoding187/recovery/dle-reconstruction-2026-07-02	refs/archive/repository-convergence-20260831/local-only-branch-tips/recovery/property-listing-engine-continuation-2026-07-02
refactor/dle-submit-payload-mapper	4f17a531f98e91a236b4467729340fc4c27c721b	2026-07-03	integrated-ancestor-of-origin-main	refactor(dle): extract canonical submit payload mapper	refs/archive/repository-convergence-20260831/local-only-branch-tips/refactor/dle-submit-payload-mapper
release/mvp-staging-readiness	26e526b0221c7a6162640fb3ae365c1a8330fe59	2026-07-11	integrated-ancestor-of-origin-main	Merge pull request #353 from Doscoding187/feat/agency-offers-transactions	refs/archive/repository-convergence-20260831/local-only-branch-tips/release/mvp-staging-readiness
security/secret-exposure-containment-20260726	70169bf5494790080020151a7bdb93a1db2d3807	2026-07-27	integrated-ancestor-of-origin-main	security: remove tracked Vercel environment secrets	refs/archive/repository-convergence-20260831/local-only-branch-tips/security/secret-exposure-containment-20260726
svc/future-state-convergence	6f6fb05f0784233a743d02ba84d09b6ef771ee3c	2026-08-26	not-ancestor-of-origin-main	fix(test): remove stale getByText assertion for Radix portal content	refs/archive/repository-convergence-20260831/local-only-branch-tips/svc/future-state-convergence
svc/future-state-wt	2a318a1133fda8035d9b1861a9678a97fa1ff810	2026-08-26	not-ancestor-of-origin-main	chore: remove legacy services router residue	refs/archive/repository-convergence-20260831/local-only-branch-tips/svc/future-state-wt
wip/ui-launch-incubation	efb7d2a2b28c10d68d9605fd24a9fa351b4c3f16	2026-07-29	not-ancestor-of-origin-main	chore(ui): establish launch incubation baseline	refs/archive/repository-convergence-20260831/local-only-branch-tips/wip/ui-launch-incubation
